id;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status
JYDO0277;Single;Transfer;1;Basic Education;Daytime;1;120.0;1;37;38;3;3;113.7;No;No;No;Yes;Female;No;20;No;0;6;8;5;11.0;0;0;6;10;3;10.666666666666666;0;12.7;3.7;-1.7;Dropout
JYDO0278;Married;Holders of other higher courses;1;Equinculture;Daytime;3;140.0;1;5;4;2;0;140.0;No;No;Yes;No;Female;No;29;No;7;9;16;7;11.555555555555555;4;5;7;12;5;13.2;2;7.6;2.6;0.32;Dropout
JYDO0279;Single;1st phase - general contingent;1;Nursing;Daytime;1;143.0;1;19;19;5;6;142.3;No;No;No;Yes;Female;Yes;18;No;0;7;7;7;13.79714285714286;0;0;8;8;8;13.775;0;12.4;0.5;1.79;Enrolled
JYDO0280;Single;1st phase - general contingent;1;Nursing;Daytime;1;129.0;1;19;19;5;5;119.6;Yes;No;No;Yes;Female;Yes;20;No;0;7;8;7;14.00375;0;0;8;11;7;13.812857142857142;0;15.5;2.8;-4.06;Graduate
JYDO0281;Single;1st phase - special contingent (Madeira Island);2;Management;Daytime;1;139.0;1;38;37;9;9;123.7;Yes;No;No;Yes;Female;Yes;22;No;0;5;8;4;12.0;0;0;5;8;4;11.4;2;16.2;0.3;-0.92;Graduate
JYDO0282;Divorced;1st phase - general contingent;1;Social Service (evening attendance);Evening;1;133.1;1;39;19;4;10;143.0;Yes;No;No;Yes;Female;Yes;47;No;0;6;9;5;14.166666666666666;0;0;6;7;6;14.166666666666666;0;16.2;0.3;-0.92;Graduate
JYDO0283;Married;Change of institution/course;1;Management (evening attendance);Evening;1;127.0;1;37;37;8;4;100.1;No;No;No;Yes;Female;No;31;No;1;5;5;5;14.0;0;0;5;5;5;13.8;0;8.9;1.4;3.51;Graduate
JYDO0284;Single;1st phase - general contingent;1;Communication Design;Daytime;1;126.0;1;19;37;7;5;119.4;No;No;No;Yes;Female;Yes;21;No;0;6;7;5;13.8;0;0;6;6;6;12.833333333333334;0;16.2;0.3;-0.92;Graduate
JYDO0285;Single;1st phase - general contingent;1;Social Service (evening attendance);Evening;1;128.0;1;38;38;0;0;122.1;No;No;No;Yes;Female;No;21;No;0;6;8;5;12.8;0;0;6;10;6;11.857142857142858;0;7.6;2.6;0.32;Graduate
JYDO0286;Married;Over 23 years old;1;Journalism and Communication;Daytime;12;100.0;1;1;1;4;4;100.0;No;No;No;Yes;Female;No;24;No;0;6;6;6;12.166666666666666;0;0;6;6;6;13.833333333333334;0;7.6;2.6;0.32;Graduate
JYDO0287;Single;2nd phase - general contingent;1;Communication Design;Daytime;1;123.0;1;4;37;2;9;113.9;No;No;No;Yes;Female;No;18;No;0;6;8;6;12.5;0;0;6;6;6;12.333333333333334;0;15.5;2.8;-4.06;Enrolled
JYDO0288;Single;Over 23 years old;1;Social Service (evening attendance);Evening;15;170.0;1;34;1;90;2;101.0;No;No;No;Yes;Female;No;32;No;0;6;9;4;12.0;0;0;6;12;4;11.5;0;7.6;2.6;0.32;Graduate
JYDO0289;Single;3rd phase - general contingent;2;Social Service (evening attendance);Evening;1;117.0;1;3;1;3;4;111.8;Yes;No;No;Yes;Female;Yes;19;No;0;6;8;6;10.833333333333334;0;0;6;9;6;11.5;0;10.8;1.4;1.74;Graduate
JYDO0290;Single;Over 23 years old;1;Nursing;Daytime;1;140.0;1;3;3;1;1;140.0;Yes;No;No;Yes;Female;No;24;No;0;8;8;8;13.385;0;0;8;8;8;13.385;0;9.4;-0.8;-3.12;Graduate
JYDO0291;Single;2nd phase - general contingent;4;Veterinary Nursing;Daytime;1;123.0;1;19;19;4;10;124.4;Yes;No;No;Yes;Female;No;19;No;0;6;14;6;15.666666666666666;0;0;6;9;6;14.5;0;15.5;2.8;-4.06;Graduate
JYDO0292;Single;Technological specialization diploma holders;1;Agronomy;Daytime;39;150.0;1;19;37;6;6;150.0;No;No;Yes;Yes;Female;Yes;19;No;0;6;9;6;14.333333333333334;0;0;6;7;6;13.833333333333334;0;13.9;-0.3;0.79;Graduate
JYDO0293;Single;Technological specialization diploma holders;1;Agronomy;Daytime;39;140.0;1;37;37;9;4;140.0;No;No;No;Yes;Female;No;24;No;0;6;10;6;11.428571428571429;0;0;6;12;5;13.0;0;12.4;0.5;1.79;Enrolled
JYDO0294;Single;2nd phase - general contingent;4;Social Service;Daytime;1;123.0;1;19;19;191;144;116.0;Yes;No;No;Yes;Female;Yes;18;No;0;6;9;6;11.666666666666666;0;0;6;8;6;11.666666666666666;0;8.9;1.4;3.51;Graduate
JYDO0295;Single;1st phase - general contingent;1;Communication Design;Daytime;1;130.0;1;38;37;3;6;135.6;Yes;No;No;Yes;Female;Yes;19;No;0;6;9;5;12.0;0;0;6;10;2;11.333333333333334;0;8.9;1.4;3.51;Dropout
JYDO0296;Married;1st phase - general contingent;1;Nursing;Daytime;1;137.0;1;3;38;2;4;121.0;No;No;No;Yes;Female;Yes;19;No;0;8;8;7;14.725714285714288;0;0;8;8;7;14.725714285714288;0;10.8;1.4;1.74;Graduate
JYDO0297;Single;2nd phase - general contingent;2;Journalism and Communication;Daytime;1;126.0;1;19;38;9;8;118.7;Yes;No;No;Yes;Female;Yes;18;No;0;6;6;6;14.166666666666666;0;0;6;6;6;13.666666666666666;0;12.4;0.5;1.79;Graduate
JYDO0298;Single;1st phase - general contingent;1;Social Service;Daytime;1;125.0;1;1;1;3;3;125.7;Yes;No;No;Yes;Female;No;18;No;0;6;10;6;11.571428571428571;0;0;6;8;6;12.333333333333334;0;12.4;0.5;1.79;Graduate
JYDO0299;Single;2nd phase - general contingent;4;Oral Hygiene;Daytime;1;112.0;1;1;1;4;10;107.1;Yes;No;No;Yes;Female;No;20;No;0;7;7;7;12.5;0;0;8;8;8;13.1375;0;12.4;0.5;1.79;Graduate
JYDO0300;Single;1st phase - general contingent;1;Nursing;Daytime;1;141.0;1;19;38;5;7;125.5;No;No;No;Yes;Female;No;18;No;0;8;10;8;12.86;2;0;8;10;8;12.86;2;9.4;-0.8;-3.12;Graduate
JYDO0301;Single;2nd phase - general contingent;4;Advertising and Marketing Management;Daytime;1;135.0;1;38;38;9;7;127.0;Yes;No;No;Yes;Female;No;18;No;0;6;10;6;12.25;0;0;6;9;6;13.714285714285714;0;11.1;0.6;2.02;Graduate
JYDO0302;Single;1st phase - general contingent;2;Veterinary Nursing;Daytime;1;117.0;1;38;37;9;9;113.5;Yes;No;No;Yes;Female;Yes;21;No;0;5;7;4;12.0;0;0;5;5;5;12.2;0;10.8;1.4;1.74;Graduate
JYDO0303;Single;1st phase - general contingent;1;Nursing;Daytime;1;160.0;1;19;19;4;9;154.4;No;No;No;Yes;Female;Yes;18;No;0;7;9;7;15.116666666666667;0;0;8;9;8;16.168888888888887;0;15.5;2.8;-4.06;Graduate
JYDO0304;Single;Change of institution/course;1;Advertising and Marketing Management;Daytime;1;136.0;1;19;19;5;5;122.0;No;No;Yes;No;Female;No;18;No;0;5;6;2;12.5;0;0;5;6;4;10.25;0;9.4;-0.8;-3.12;Dropout
JYDO0305;Single;2nd phase - general contingent;2;Social Service;Daytime;1;143.0;1;1;11;4;3;128.0;Yes;No;No;Yes;Female;No;19;No;0;6;11;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
JYDO0306;Single;1st phase - general contingent;1;Advertising and Marketing Management;Daytime;1;119.0;1;1;19;4;10;115.5;Yes;No;No;Yes;Female;No;19;No;0;6;8;4;11.0;0;0;6;9;4;11.0;0;10.8;1.4;1.74;Enrolled
JYDO0307;Single;2nd phase - general contingent;4;Advertising and Marketing Management;Daytime;1;120.0;1;1;19;5;5;117.2;Yes;No;No;Yes;Female;No;18;No;0;6;8;6;11.875;0;0;6;11;4;14.6;0;11.1;0.6;2.02;Graduate
JYDO0308;Single;Over 23 years old;1;Equinculture;Daytime;3;150.0;1;3;1;90;90;150.0;Yes;No;No;Yes;Female;No;34;No;1;5;6;1;11.0;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout
JYDO0309;Single;1st phase - general contingent;3;Veterinary Nursing;Daytime;1;142.0;1;11;11;90;90;155.3;No;No;No;Yes;Female;No;19;No;0;5;5;5;15.2;0;0;5;6;5;13.2;0;7.6;2.6;0.32;Graduate
JYDO0310;Single;Technological specialization diploma holders;1;Equinculture;Daytime;39;120.0;1;37;37;7;8;120.0;Yes;No;Yes;No;Female;No;19;No;2;6;7;5;11.6;0;1;6;12;2;11.0;0;12.4;0.5;1.79;Dropout
JYDO0311;Single;Change of institution/course;1;Social Service;Daytime;1;160.0;1;3;19;2;1;116.1;No;No;Yes;Yes;Female;No;26;No;0;6;6;6;14.833333333333334;0;0;6;7;6;15.142857142857142;0;11.1;0.6;2.02;Graduate
JYDO0312;Single;2nd phase - general contingent;1;Basic Education;Daytime;1;133.1;1;34;34;0;0;118.9;Yes;No;No;Yes;Female;No;21;No;0;6;12;3;11.333333333333334;0;0;6;10;3;11.333333333333334;0;7.6;2.6;0.32;Dropout
JYDO0313;Single;2nd phase - general contingent;2;Management;Daytime;1;142.0;1;19;19;4;8;127.3;No;No;No;Yes;Female;Yes;18;No;0;5;5;5;11.2;0;0;5;5;5;11.8;0;11.1;0.6;2.02;Graduate
JYDO0314;Single;2nd phase - general contingent;4;Basic Education;Daytime;1;121.0;1;38;38;5;7;113.7;Yes;No;No;Yes;Female;Yes;20;No;0;6;8;5;13.4;0;0;6;9;5;13.666666666666666;0;9.4;-0.8;-3.12;Graduate
JYDO0315;Single;Change of institution/course;1;Management;Daytime;1;135.0;1;1;1;4;4;118.5;No;No;No;Yes;Female;No;25;No;0;5;12;2;10.5;0;0;5;5;0;0.0;0;11.1;0.6;2.02;Dropout
JYDO0316;Single;1st phase - general contingent;1;Management;Daytime;1;153.0;1;1;38;4;3;146.7;No;No;No;Yes;Female;No;18;No;0;5;5;5;16.2;0;0;5;5;5;16.4;0;11.1;0.6;2.02;Graduate
JYDO0317;Single;1st phase - general contingent;1;Nursing;Daytime;1;140.0;1;19;19;3;6;124.3;Yes;No;No;Yes;Female;Yes;18;No;0;7;7;7;14.542857142857144;0;0;8;11;8;14.88181818181818;0;16.2;0.3;-0.92;Graduate
JYDO0318;Single;1st phase - general contingent;1;Nursing;Daytime;1;152.0;1;41;19;3;5;137.8;No;No;No;Yes;Female;No;19;No;0;7;7;7;13.694285714285714;0;0;8;9;8;14.355555555555554;0;11.1;0.6;2.02;Graduate
JYDO0319;Single;1st phase - general contingent;1;Social Service;Daytime;1;120.0;1;19;38;5;9;130.2;No;No;No;Yes;Female;Yes;18;No;0;6;8;6;11.285714285714286;0;0;6;10;6;11.857142857142858;0;12.4;0.5;1.79;Graduate
JYDO0320;Single;2nd phase - general contingent;1;Nursing;Daytime;1;160.0;1;38;38;7;7;147.8;No;No;No;Yes;Female;No;20;No;0;7;11;6;11.757142857142856;0;0;8;12;6;13.083333333333334;0;15.5;2.8;-4.06;Enrolled
JYDO0321;Single;Holders of other higher courses;1;Veterinary Nursing;Daytime;40;150.0;1;19;19;9;5;150.0;No;No;Yes;No;Female;No;26;No;0;3;3;0;0.0;0;0;6;0;0;0.0;0;8.9;1.4;3.51;Dropout
JYDO0322;Single;Transfer;1;Nursing;Daytime;1;100.0;1;37;37;7;9;100.0;Yes;No;No;Yes;Female;Yes;19;No;0;8;8;7;13.058571428571428;0;0;8;8;7;13.058571428571428;0;10.8;1.4;1.74;Graduate
JYDO0323;Single;1st phase - general contingent;1;Nursing;Daytime;1;150.0;1;1;1;5;1;155.6;No;No;No;Yes;Female;No;19;No;0;7;7;7;14.3;0;0;8;9;8;14.055555555555555;0;16.2;0.3;-0.92;Graduate
JYDO0324;Single;Change of course;4;Management;Daytime;1;124.0;1;37;37;9;9;117.4;No;No;No;Yes;Female;No;19;No;3;10;15;5;11.8;0;4;10;14;8;12.0;0;7.6;2.6;0.32;Graduate
JYDO0325;Single;1st phase - special contingent (Azores Island);3;Veterinary Nursing;Daytime;1;141.0;1;1;19;7;5;128.8;Yes;No;No;Yes;Female;No;19;No;0;5;9;3;10.333333333333334;1;0;5;8;3;13.0;0;7.6;2.6;0.32;Enrolled
JYDO0326;Single;1st phase - general contingent;1;Tourism;Daytime;1;121.0;1;19;19;5;8;117.5;Yes;No;No;Yes;Female;No;18;No;0;6;7;6;10.571428571428571;0;0;6;11;3;11.666666666666666;0;16.2;0.3;-0.92;Graduate
JYDO0327;Single;Change of course;1;Nursing;Daytime;6;134.0;1;1;37;9;9;120.4;Yes;No;No;Yes;Female;No;19;No;0;7;7;6;13.333333333333334;0;0;7;7;6;13.333333333333334;0;7.6;2.6;0.32;Graduate
JYDO0328;Single;1st phase - general contingent;1;Social Service;Daytime;1;134.0;1;1;1;9;6;130.9;No;No;Yes;Yes;Female;No;18;No;0;6;10;6;11.857142857142858;0;0;6;9;5;11.0;0;13.9;-0.3;0.79;Graduate
JYDO0329;Single;1st phase - general contingent;1;Basic Education;Daytime;1;132.0;1;2;19;4;4;125.0;Yes;No;No;Yes;Female;No;18;No;0;6;9;5;12.6;0;0;6;8;5;11.4;0;9.4;-0.8;-3.12;Enrolled
JYDO0330;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;135.0;1;19;38;9;5;136.8;Yes;No;No;Yes;Female;No;18;No;0;5;11;5;14.0;3;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Enrolled
JYDO0331;Single;1st phase - general contingent;1;Basic Education;Daytime;1;123.0;1;1;38;9;6;121.6;Yes;No;No;Yes;Female;No;18;No;0;7;12;5;12.0;0;0;7;9;6;12.666666666666666;0;11.1;0.6;2.02;Enrolled
JYDO0332;Single;Technological specialization diploma holders;1;Informatics Engineering;Daytime;39;151.0;1;19;37;4;7;151.0;No;No;Yes;Yes;Female;No;26;No;0;5;6;0;0.0;0;0;5;5;0;0.0;0;16.2;0.3;-0.92;Dropout
JYDO0333;Single;1st phase - general contingent;1;Social Service;Daytime;1;107.0;1;38;38;7;7;103.5;Yes;No;No;Yes;Female;No;20;No;0;6;7;6;12.0;0;0;6;7;6;13.0;0;12.4;0.5;1.79;Graduate
JYDO0334;Single;1st phase - general contingent;1;Social Service (evening attendance);Evening;1;126.0;1;37;38;9;10;119.4;No;No;No;Yes;Female;No;19;No;0;6;6;6;12.666666666666666;0;0;6;6;6;11.666666666666666;0;12.7;3.7;-1.7;Graduate
JYDO0335;Single;1st phase - general contingent;1;Social Service;Daytime;1;133.0;1;34;37;4;9;134.4;Yes;No;No;Yes;Female;Yes;18;No;0;6;6;6;12.166666666666666;0;0;6;9;6;13.666666666666666;0;9.4;-0.8;-3.12;Graduate
JYDO0336;Single;Technological specialization diploma holders;1;Social Service;Daytime;39;140.0;1;38;37;7;7;143.0;No;No;No;Yes;Female;No;19;No;3;6;6;6;13.333333333333334;0;2;6;6;6;14.666666666666666;0;13.9;-0.3;0.79;Graduate
JYDO0337;Single;Holders of other higher courses;1;Basic Education;Daytime;40;110.0;1;41;3;2;1;110.0;No;No;Yes;Yes;Female;No;40;No;0;7;8;7;15.0;0;0;7;7;7;14.571428571428571;0;12.4;0.5;1.79;Graduate
JYDO0338;Single;1st phase - general contingent;4;Nursing;Daytime;1;141.0;1;38;38;7;7;132.5;Yes;No;No;Yes;Female;Yes;18;No;0;8;8;8;13.39125;0;0;8;8;8;13.39125;0;9.4;-0.8;-3.12;Graduate
JYDO0339;Single;2nd phase - general contingent;1;Social Service;Daytime;1;122.0;1;3;1;9;10;114.7;No;No;No;Yes;Female;No;19;No;0;6;9;5;12.166666666666666;0;0;6;8;6;12.428571428571429;0;13.9;-0.3;0.79;Graduate
JYDO0340;Single;2nd phase - general contingent;1;Equinculture;Daytime;1;156.0;1;2;9;3;5;166.9;No;No;No;Yes;Female;No;18;No;0;5;9;4;11.25;0;0;5;6;4;12.5;0;7.6;2.6;0.32;Graduate
JYDO0341;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;129.0;1;1;2;3;1;125.9;Yes;No;No;Yes;Female;No;19;No;0;5;13;4;12.0;2;0;5;8;3;12.0;0;9.4;-0.8;-3.12;Enrolled
JYDO0342;Single;1st phase - general contingent;1;Animation and Multimedia Design;Daytime;1;188.0;1;3;3;2;2;178.3;Yes;No;No;Yes;Female;No;18;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout
JYDO0343;Married;Over 23 years old;1;Social Service (evening attendance);Evening;1;120.0;1;37;37;9;9;117.0;Yes;No;No;Yes;Female;No;33;No;0;6;7;6;12.833333333333334;0;0;6;8;6;12.857142857142858;0;12.4;0.5;1.79;Graduate
JYDO0344;Single;Over 23 years old;1;Agronomy;Daytime;3;130.0;1;3;3;1;2;150.0;No;No;No;Yes;Female;No;35;No;0;6;10;6;14.0;0;0;6;11;6;13.1;0;16.2;0.3;-0.92;Graduate
JYDO0345;Single;Transfer;1;Management;Daytime;1;130.0;1;37;38;9;1;130.0;Yes;No;No;Yes;Female;No;26;No;3;5;5;4;13.0;0;1;5;7;2;12.0;0;9.4;-0.8;-3.12;Enrolled
JYDO0346;Single;1st phase - general contingent;1;Journalism and Communication;Daytime;1;140.0;1;19;19;7;5;135.1;Yes;No;No;Yes;Female;No;18;No;0;6;7;6;13.5;0;0;6;8;6;12.5;0;9.4;-0.8;-3.12;Graduate
JYDO0347;Single;Change of course;1;Social Service;Daytime;1;110.0;1;37;37;9;9;110.0;No;No;No;Yes;Female;No;36;No;10;16;24;13;10.692307692307692;1;9;13;19;9;12.307692307692308;0;15.5;2.8;-4.06;Enrolled
JYDO0348;Divorced;Over 23 years old;1;Management (evening attendance);Evening;1;133.1;1;37;37;6;6;136.2;No;No;No;Yes;Female;No;39;No;0;5;6;5;11.0;0;0;5;9;5;11.666666666666666;0;10.8;1.4;1.74;Graduate
JYDO0349;Married;Over 23 years old;1;Social Service;Daytime;1;120.0;1;37;37;9;9;116.0;No;No;No;Yes;Female;No;44;No;0;6;8;6;13.0;0;0;6;6;6;13.833333333333334;0;12.7;3.7;-1.7;Graduate
JYDO0350;Single;1st phase - general contingent;2;Social Service (evening attendance);Evening;1;96.0;1;3;1;3;9;100.0;No;No;No;Yes;Female;No;20;No;0;6;10;5;12.0;0;0;6;9;4;11.25;0;9.4;-0.8;-3.12;Enrolled
JYDO0351;Single;1st phase - general contingent;1;Tourism;Daytime;1;117.0;1;19;19;9;9;116.3;Yes;No;No;Yes;Female;No;24;No;0;6;9;4;12.6;0;0;6;6;4;11.5;0;12.7;3.7;-1.7;Dropout
JYDO0352;Single;Change of course;1;Journalism and Communication;Daytime;1;123.0;1;19;19;9;8;134.0;No;No;No;Yes;Female;Yes;20;No;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;12.4;0.5;1.79;Graduate
JYDO0353;Single;1st phase - general contingent;4;Animation and Multimedia Design;Daytime;1;127.0;1;1;1;9;5;124.2;Yes;No;No;No;Female;No;19;No;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
JYDO0354;Married;1st phase - general contingent;1;Nursing;Daytime;1;151.0;1;37;38;9;7;134.5;No;No;Yes;Yes;Female;Yes;18;No;0;7;7;6;14.2;0;0;7;7;6;14.2;0;7.6;2.6;0.32;Graduate
JYDO0355;Single;1st phase - general contingent;1;Tourism;Daytime;1;127.0;1;19;19;4;6;120.7;No;No;Yes;No;Female;No;22;No;0;6;10;5;11.0;0;0;6;12;0;0.0;0;10.8;1.4;1.74;Dropout
JYDO0356;Single;2nd phase - general contingent;1;Veterinary Nursing;Daytime;1;133.0;1;19;1;4;5;127.1;Yes;No;No;Yes;Female;No;18;No;0;6;7;6;15.0;0;0;6;7;6;16.428571428571427;0;11.1;0.6;2.02;Graduate
JYDO0357;Single;Over 23 years old;1;Nursing;Daytime;19;133.1;1;38;37;9;9;133.0;No;No;No;Yes;Female;No;24;No;0;7;9;6;12.585714285714284;0;0;8;9;7;13.44285714285714;0;13.9;-0.3;0.79;Graduate
JYDO0358;Single;Over 23 years old;1;Management (evening attendance);Evening;1;133.1;1;37;37;90;8;128.2;No;No;No;Yes;Female;No;33;No;0;5;0;0;0.0;0;0;5;0;0;0.0;0;12.7;3.7;-1.7;Dropout
JYDO0359;Single;Over 23 years old;1;Agronomy;Daytime;1;133.1;1;37;37;3;8;130.0;No;No;Yes;Yes;Female;Yes;30;No;0;6;6;0;0.0;0;0;6;6;0;0.0;0;11.1;0.6;2.02;Enrolled
JYDO0360;Single;Over 23 years old;1;Veterinary Nursing;Daytime;43;160.0;1;3;39;2;3;172.0;No;No;No;Yes;Female;No;26;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;8.9;1.4;3.51;Dropout
JYDO0361;Single;2nd phase - general contingent;4;Basic Education;Daytime;1;140.0;1;19;38;4;1;128.5;Yes;No;No;Yes;Female;No;18;No;0;6;7;6;11.666666666666666;0;0;6;10;6;11.833333333333334;0;10.8;1.4;1.74;Graduate
JYDO0362;Single;1st phase - general contingent;1;Journalism and Communication;Daytime;1;146.0;1;37;38;9;7;128.5;No;No;Yes;Yes;Female;No;19;No;0;6;13;3;12.666666666666666;0;0;6;12;2;10.0;0;10.8;1.4;1.74;Dropout
JYDO0363;Single;2nd phase - general contingent;4;Management;Daytime;1;112.0;1;19;38;9;10;112.0;Yes;No;No;Yes;Female;No;20;No;0;5;10;3;10.333333333333334;0;0;5;9;4;11.0;2;16.2;0.3;-0.92;Enrolled
JYDO0364;Single;Short cycle diploma holders;1;Veterinary Nursing;Daytime;42;140.0;1;19;37;9;8;142.5;Yes;No;No;Yes;Female;Yes;22;No;7;11;18;8;13.5;0;4;9;16;7;13.714285714285714;0;8.9;1.4;3.51;Graduate
JYDO0365;Single;1st phase - general contingent;4;Nursing;Daytime;1;136.0;1;1;1;9;1;133.0;Yes;No;No;Yes;Female;No;19;No;0;7;8;5;13.98;0;0;7;8;5;13.98;0;7.6;2.6;0.32;Enrolled
JYDO0366;Single;1st phase - general contingent;1;Veterinary Nursing;Daytime;1;133.1;1;37;38;7;5;106.0;Yes;No;No;Yes;Female;Yes;21;No;0;6;13;6;16.153846153846153;0;0;6;10;6;15.75;0;15.5;2.8;-4.06;Graduate
JYDO0367;Single;1st phase - general contingent;4;Nursing;Daytime;1;136.0;1;19;38;4;8;125.5;Yes;No;No;Yes;Female;Yes;21;No;0;7;7;6;14.033333333333331;0;0;7;7;6;14.033333333333331;0;7.6;2.6;0.32;Graduate
JYDO0368;Single;2nd phase - general contingent;1;Veterinary Nursing;Daytime;1;134.0;1;19;37;2;7;131.2;No;No;No;Yes;Female;No;19;No;0;5;8;1;11.0;0;0;5;6;5;11.2;0;7.6;2.6;0.32;Enrolled
JYDO0369;Single;1st phase - general contingent;1;Basic Education;Daytime;1;122.0;1;38;37;191;195;112.9;Yes;No;No;Yes;Female;Yes;19;No;0;7;8;7;13.857142857142858;0;0;7;8;6;13.666666666666666;0;8.9;1.4;3.51;Graduate
JYDO0370;Single;1st phase - general contingent;6;Nursing;Daytime;1;138.0;1;19;19;9;5;124.8;Yes;No;No;Yes;Female;No;18;No;0;8;8;7;13.414285714285716;0;0;8;8;7;13.414285714285716;0;12.7;3.7;-1.7;Dropout
JYDO0371;Married;Change of course;1;Social Service (evening attendance);Evening;1;160.0;1;37;39;9;4;140.9;No;No;No;Yes;Female;No;50;No;7;11;11;11;13.545454545454543;0;3;7;7;7;13.571428571428571;0;16.2;0.3;-0.92;Graduate
JYDO0372;Divorced;Over 23 years old;1;Management (evening attendance);Evening;1;130.0;1;38;19;9;7;148.0;No;No;No;Yes;Female;Yes;31;No;0;5;11;4;11.25;0;0;5;10;4;10.833333333333334;0;13.9;-0.3;0.79;Enrolled
JYDO0373;Single;2nd phase - general contingent;1;Journalism and Communication;Daytime;1;161.0;1;1;19;4;7;148.4;No;No;No;Yes;Female;Yes;19;No;0;6;6;6;13.833333333333334;0;0;6;7;6;14.428571428571429;0;15.5;2.8;-4.06;Graduate
JYDO0374;Divorced;Over 23 years old;1;Management (evening attendance);Evening;1;140.0;1;1;37;141;192;129.7;No;No;No;Yes;Female;No;35;No;0;5;8;5;12.0;0;0;5;9;5;12.857142857142858;0;13.9;-0.3;0.79;Graduate
JYDO0375;Married;Over 23 years old;1;Veterinary Nursing;Daytime;19;133.1;1;38;38;4;7;128.2;No;No;No;Yes;Female;No;31;No;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout
JYDO0376;Married;Change of institution/course;1;Social Service (evening attendance);Evening;19;133.1;1;37;37;9;9;104.0;No;No;Yes;Yes;Female;No;42;No;5;11;14;10;11.9;0;5;11;14;10;12.8;0;11.1;0.6;2.02;Enrolled
JYDO0377;Single;3rd phase - general contingent;4;Management;Daytime;1;130.0;1;37;37;9;9;119.9;Yes;No;No;No;Female;No;34;No;0;5;5;0;0.0;0;0;5;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
JYDO0378;Single;1st phase - general contingent;1;Nursing;Daytime;1;152.0;1;1;1;4;4;141.0;Yes;No;No;Yes;Female;Yes;18;No;0;7;7;7;15.135714285714286;0;0;8;8;8;15.287499999999998;0;12.4;0.5;1.79;Graduate
JYDO0379;Single;2nd phase - general contingent;1;Basic Education;Daytime;1;125.0;1;3;3;3;3;116.6;Yes;No;No;No;Female;Yes;18;No;0;7;7;7;12.285714285714286;0;0;7;8;6;13.333333333333334;0;8.9;1.4;3.51;Enrolled
JYDO0380;Single;Technological specialization diploma holders;1;Veterinary Nursing;Daytime;39;140.0;1;37;38;5;6;140.0;Yes;No;No;Yes;Female;No;21;No;2;6;16;5;12.666666666666666;0;1;6;15;2;13.5;0;16.2;0.3;-0.92;Enrolled
JYDO0381;Divorced;Over 23 years old;1;Nursing;Daytime;19;133.1;1;38;19;5;7;140.0;No;No;No;Yes;Female;Yes;26;No;0;7;13;5;12.74;0;0;8;12;6;10.978571428571428;0;16.2;0.3;-0.92;Dropout
JYDO0382;Single;Change of course;1;Nursing;Daytime;1;170.0;1;19;37;8;8;100.0;No;No;No;Yes;Female;No;20;No;0;7;8;6;13.25;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Enrolled
JYDO0383;Single;1st phase - general contingent;1;Social Service;Daytime;1;135.0;1;38;38;5;7;121.0;No;No;No;Yes;Female;No;19;No;0;6;13;3;10.333333333333334;0;0;6;12;3;10.333333333333334;0;7.6;2.6;0.32;Enrolled
JYDO0384;Single;1st phase - general contingent;1;Basic Education;Daytime;1;125.0;1;19;19;5;5;117.0;No;No;No;Yes;Female;Yes;19;No;0;6;7;6;13.428571428571429;0;0;6;6;6;13.166666666666666;0;15.5;2.8;-4.06;Graduate
JYDO0385;Single;Short cycle diploma holders;1;Management;Daytime;42;140.0;1;3;4;2;1;140.2;No;No;No;Yes;Female;No;20;No;6;11;19;9;12.555555555555555;0;3;9;14;8;11.11111111111111;0;8.9;1.4;3.51;Graduate
